"cli -c ""show log messages|no-more ""  " 
"Nov 11 20:11:31.941  timex-re0 kernel: %KERN-5: tcp_timer_keep: Dropping socket connection due to keepalive timer expiration, idle/intvl/cnt: 1000/1000/5"
"Nov 11 20:11:31.941  timex-re0 kernel: %KERN-5: tcp_timer_keep:Local(0x80000001:6157) Foreign(0x80000013:44043)"
"Nov 11 20:11:32.847  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.31+54764"
"Nov 11 20:11:32.847  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.31+54764 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.31+54764"
"Nov 11 20:11:33.220  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.7+64692"
"Nov 11 20:11:33.220  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.7+64692 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.7+64692"
"Nov 11 20:11:34.905  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.22+51377"
"Nov 11 20:11:34.905  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.22+51377 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.22+51377"
"Nov 11 20:11:35.167  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 8 not powering up"
"Nov 11 20:11:35.167  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:11:35.167  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 20:11:35.407  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63772149)"
"Nov 11 20:11:35.407  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:11:35.408  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8)"
"Nov 11 20:11:39.308  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63773621)"
"Nov 11 20:11:50.599  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 4 not powering up"
"Nov 11 20:11:50.599  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:11:50.599  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 20:11:50.838  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63773621)"
"Nov 11 20:11:50.838  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:11:50.838  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4)"
"Nov 11 20:11:51.763  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63774866)"
"Nov 11 20:11:57.402  timex-re0 : %PFE-5: fpc3 Ukern event counter Sock_tx init delayed"
"Nov 11 20:11:57.402  timex-re0 : %PFE-5: fpc3 Ukern event counter Sock_rx init delayed"
"Nov 11 20:11:58.480  timex-re0 : %PFE-3: fpc3 CLKSYNC: failed to connect to Master"
"Nov 11 20:11:58.675  timex-re0 : %PFE-3: fpc3 RDMAN: Failed to connect to peer."
"Nov 11 20:11:59.734  timex-re0 : %PFE-3: fpc3 L2ALM: failed to connect to Master"
"Nov 11 20:12:01.176  timex-re0 : %PFE-5: fpc3 Ukern event counter Rt_add init delayed"
"Nov 11 20:12:01.249  timex-re0 : %PFE-5: fpc3 Ukern event counter Rt_chg init delayed"
"Nov 11 20:12:01.319  timex-re0 : %PFE-5: fpc3 Ukern event counter Rt_del init delayed"
"Nov 11 20:12:01.686  timex-re0 : %PFE-5: fpc3 Ukern event counter NH_add init delayed"
"Nov 11 20:12:01.757  timex-re0 : %PFE-5: fpc3 Ukern event counter NH_chg init delayed"
"Nov 11 20:12:01.833  timex-re0 : %PFE-5: fpc3 Ukern event counter NH_del init delayed"
"Nov 11 20:12:02.232  timex-re0 : %PFE-5: fpc3 pfe_pme_max 25"
"Nov 11 20:12:03.457  timex-re0 : %PFE-5: fpc3 CLKSYNC: master RE connection made"
"Nov 11 20:12:03.782  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 8 not powering up"
"Nov 11 20:12:03.782  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:12:03.782  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 20:12:04.023  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63774866)"
"Nov 11 20:12:04.023  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:12:04.023  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8)"
"Nov 11 20:12:04.318  timex-re0 : %PFE-5: fpc3 L2ALM master RE connection made"
"Nov 11 20:12:06.684  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.26+50358"
"Nov 11 20:12:06.684  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.26+50358 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.26+50358"
"Nov 11 20:12:07.095  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63776400)"
"Nov 11 20:12:07.159  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.34+52091"
"Nov 11 20:12:07.159  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.34+52091 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.34+52091"
"Nov 11 20:12:08.053  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.33+62145"
"Nov 11 20:12:08.053  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.33+62145 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.33+62145"
"Nov 11 20:12:17.893  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 4 not powering up"
"Nov 11 20:12:17.893  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:12:17.893  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 20:12:18.134  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63776400)"
"Nov 11 20:12:18.134  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:12:18.135  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4)"
"Nov 11 20:12:19.059  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63777596)"
"Nov 11 20:12:29.936  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Memory Error"
"Nov 11 20:12:29.943  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Test Name:Unique Address (Bottom-Up)"
"Nov 11 20:12:29.948  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Error Count: 1"
"Nov 11 20:12:29.954  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Error Address: Raw: 0x00000000011202b8 Cell: 0x000000000004480a, Burst: 0, Bank: 7"
"Nov 11 20:12:30.108  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Actual Data:   0x000000000000009015e4047000200008"
"Nov 11 20:12:30.226  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Expected Data: 0x000000000000009015e4057000200008"
"Nov 11 20:12:30.345  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Vector Data:   0x00000000000000000000000000000010"
"Nov 11 20:12:30.466  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Error Vector:   0x00000000000000000000010000000000"
"Nov 11 20:12:30.584  timex-re0 : %PFE-0: fpc3 LUCHIP(2): Bist RLDRAM 2 failed, FRU:U3656 (LUCHIP2_RLDRAM2)"
"Nov 11 20:12:30.693  timex-re0 : %PFE-3: fpc3 CMT: LU2 init failed, generic failure"
"Nov 11 20:12:30.761  timex-re0 : %PFE-3: fpc3 CMT: Failed to init LU chip 2.0"
"Nov 11 20:12:31.288  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 8 not powering up"
"Nov 11 20:12:31.288  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:12:31.288  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 20:12:31.529  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63777596)"
"Nov 11 20:12:31.529  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:12:31.529  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8)"
"Nov 11 20:12:34.598  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63779150)"
"Nov 11 20:12:36.600  timex-re0 : %PFE-3: fpc3 CMT: Failed to start ASICs, PFE ID 2"
"Nov 11 20:12:38.649  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.25+49354"
"Nov 11 20:12:38.649  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.25+49354 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.25+49354"
"Nov 11 20:12:40.861  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.21+63488"
"Nov 11 20:12:40.861  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.21+63488 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.21+63488"
"Nov 11 20:12:46.157  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 4 not powering up"
"Nov 11 20:12:46.158  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:12:46.158  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 20:12:46.396  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63779150)"
"Nov 11 20:12:46.396  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:12:46.397  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4)"
"Nov 11 20:12:47.323  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63780422)"
"Nov 11 20:12:50.711  timex-re0 xntpd: %NTP-3: NTP Server 10.85.0.36 is Unreachable"
"Nov 11 20:12:51.201  timex-re0 : %PFE-0: fpc3 CMT: Fatal ASIC initialization error, Offlining FPC"
"Nov 11 20:12:51.475  timex-re0 : %PFE-3: fpc3 HSL2: Missing end/ends for table-trained/channel-trained channel in offset 40"
"Nov 11 20:12:51.590  timex-re0 : %PFE-3: fpc3 HSL2: Table-trained sub_table 0 failed verification."
"Nov 11 20:12:51.678  timex-re0 : %PFE-3: fpc3 HSL2: cmtfpc_hsl2_bringup: hsl2_table_trained_bringup failed (1)"
"Nov 11 20:12:51.779  timex-re0 : %PFE-3: fpc3 CMT: Failed to initialize HSL2 channels: generic failure"
"Nov 11 20:12:51.872  timex-re0 : %PFE-0: fpc3 CMT: Error initializing PFE asics"
"Nov 11 20:12:51.947  timex-re0 : %PFE-3: fpc3 CMLC: Master closed connection (errno=38)"
"Nov 11 20:12:52.024  timex-re0 : %PFE-0: fpc3 CMLC: Chassis Manager terminated"
"Nov 11 20:12:52.711  timex-re0 xntpd: %NTP-3: NTP Server 10.85.0.36 is Unreachable"
"Nov 11 20:12:54.711  timex-re0 xntpd: %NTP-3: NTP Server 10.85.0.36 is Unreachable"
"Nov 11 20:12:56.711  timex-re0 xntpd: %NTP-3: NTP Server 10.85.0.36 is Unreachable"
"Nov 11 20:12:57.852  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 8 not powering up"
"Nov 11 20:12:57.852  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:12:57.852  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 20:12:58.092  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63780422)"
"Nov 11 20:12:58.092  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:12:58.092  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8)"
"Nov 11 20:12:58.711  timex-re0 xntpd: %NTP-3: NTP Server 10.85.0.36 is Unreachable"
"Nov 11 20:13:00.711  timex-re0 xntpd: %NTP-3: NTP Server 10.85.0.36 is Unreachable"
"Nov 11 20:13:01.951  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63781885)"
"Nov 11 20:13:02.711  timex-re0 xntpd: %NTP-3: NTP Server 10.85.0.36 is Unreachable"
"Nov 11 20:13:06.711  timex-re0 last message repeated 2 times"
"Nov 11 20:13:13.538  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 4 not powering up"
"Nov 11 20:13:13.538  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:13:13.538  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 20:13:13.779  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63781885)"
"Nov 11 20:13:13.779  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:13:13.780  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4)"
"Nov 11 20:13:14.361  timex-re0 kernel: %KERN-5: tcp_timer_keep: Dropping socket connection due to keepalive timer expiration, idle/intvl/cnt: 1000/500/5"
"Nov 11 20:13:14.361  timex-re0 kernel: %KERN-5: tcp_timer_keep:Local(0x80000001:33072) Foreign(0x80000013:30730)"
"Nov 11 20:13:14.704  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63783160)"
"Nov 11 20:13:17.014  timex-re0 kernel: %KERN-5: tcp_timer_keep: Dropping socket connection due to keepalive timer expiration, idle/intvl/cnt: 1000/1000/5"
"Nov 11 20:13:17.014  timex-re0 kernel: %KERN-5: tcp_timer_keep:Local(0x80000001:6234) Foreign(0x80000013:30725)"
"Nov 11 20:13:17.014  timex-re0 kernel: %KERN-5: tcp_timer_keep: Dropping socket connection due to keepalive timer expiration, idle/intvl/cnt: 1000/1000/5"
"Nov 11 20:13:17.014  timex-re0 kernel: %KERN-5: tcp_timer_keep:Local(0x80000001:6157) Foreign(0x80000013:30731)"
"Nov 11 20:13:17.014  timex-re0 kernel: %KERN-5: tcp_timer_keep: Dropping socket connection due to keepalive timer expiration, idle/intvl/cnt: 1000/1000/5"
"Nov 11 20:13:17.014  timex-re0 kernel: %KERN-5: tcp_timer_keep:Local(0x80000001:6166) Foreign(0x80000013:30729)"
"Nov 11 20:13:17.014  timex-re0 kernel: %KERN-5: tcp_timer_keep: Dropping socket connection due to keepalive timer expiration, idle/intvl/cnt: 1000/1000/5"
"Nov 11 20:13:17.014  timex-re0 kernel: %KERN-5: tcp_timer_keep:Local(0x80000001:32780) Foreign(0x80000013:30728)"
"Nov 11 20:13:17.014  timex-re0 kernel: %KERN-4: peer_input_pending_internal: 6078: peer class: 0, type: 17, index: 3, vksid: 0, state: 2 reported a so_error 60"
"Nov 11 20:13:17.014  timex-re0 kernel: %KERN-4: peer_input_pending_internal: 6078: peer class: 0, type: 17, index: 3, vksid: 0, state: 2 reported a so_error 60"
"Nov 11 20:13:17.014  timex-re0 kernel: %KERN-4: peer_inputs: 6385: Closing connection peer class: 0, type: 17, index: 3, vksid: 0, state: 2, err 5"
"Nov 11 20:13:26.340  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 8 not powering up"
"Nov 11 20:13:26.340  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 20:13:26.340  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 20:13:26.575  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63783160)"
"Nov 11 20:13:26.575  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
